shot_id,route,device,viewport,data_mode,required_disclosure,operator,capture_started_at,capture_ended_at,raw_filename,sha256,release_receipt_verified,canonical_route_verified,private_data_visible,secrets_visible,keyboard_or_fallback_result,mobile_safe_area,product_truth,claims_review,privacy_review,security_review,accessibility_review,media_rights_review,reviewer,evidence_link,status,notes
C01,https://urai.app/,DESKTOP,1440x900,public,N/A,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C01,https://urai.app/,MOBILE,390x844,public,N/A,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C02,https://urai.app/ -> https://urai.app/ground/,DESKTOP,1440x900,public,N/A,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C03,https://urai.app/ground/,DESKTOP,1440x900,public,N/A,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C03,https://urai.app/ground/,MOBILE,390x844,public,N/A,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C04,https://urai.app/life-map/?demo=1,DESKTOP,1440x900,explicit-sample,SAMPLE DATA,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C04,https://urai.app/life-map/?demo=1,MOBILE,390x844,explicit-sample,SAMPLE DATA,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C05,https://urai.app/life-map/?demo=1,DESKTOP,1440x900,explicit-sample,SAMPLE DATA,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C06,https://urai.app/focus/?demo=1,DESKTOP,1440x900,explicit-sample,SAMPLE DATA,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C06,https://urai.app/focus/?demo=1,MOBILE,390x844,explicit-sample,SAMPLE DATA,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C07,https://urai.app/replay/?demo=1,DESKTOP,1440x900,explicit-sample,SAMPLE DATA,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C07,https://urai.app/replay/?demo=1,MOBILE,390x844,explicit-sample,SAMPLE DATA,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C08,https://urai.app/privacy/,DESKTOP,1440x900,public,N/A,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C09,https://urai.app/status/,DESKTOP,1440x900,public,N/A,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C10,MULTI,MOBILE,390x844,mixed,AS APPLICABLE,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C11,MULTI,DESKTOP,1440x900,mixed,AS APPLICABLE,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
C12,https://urai.app/,DESKTOP,1440x900,public,N/A,,,,,,,,NO,NO,,,,,,,,,,,HOLD,
